category,n_samples,optimized_acc,optimized_f1,sota_acc,sota_f1
delivery_shipping,23,0.6956521739130435,0.6246684350132626,0.7391304347826086,0.7111111111111111
other,22,0.7727272727272727,0.6614718614718614,0.7727272727272727,0.7352285395763657
app_usability,18,0.6111111111111112,0.5719576719576719,0.8888888888888888,0.890993265993266
pricing_discount,7,0.7142857142857143,0.30303030303030304,0.5714285714285714,0.26666666666666666
refund_return,5,0.8,0.4444444444444444,0.8,0.7619047619047619
ads_promotions,2,1.0,1.0,1.0,1.0
customer_service,1,1.0,1.0,1.0,1.0
product_quality,1,1.0,1.0,1.0,1.0
scam_trust,1,1.0,1.0,1.0,1.0
