model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr,confusion_matrix
Optimized (s3_tfidf_svc),0.725,0.7775200989486705,0.6912698412698411,0.6962833914053427,0.8244976907900637,"[[33, 2, 0], [5, 15, 1], [11, 3, 10]]"
SOTA (siberett/roberta-sentiment-analysis-finetune),0.7875,0.8081822529455241,0.7714285714285714,0.7801544416912959,0.8931798157115954,"[[31, 3, 1], [5, 16, 0], [5, 3, 16]]"
